datetime,daily_active_addresses,network_growth,age_destroyed,average_token_age_consumed_in_days,transaction_volume,velocity,circulation_1d,daily_active_deposits,github_activity,exchange_funds_flow,priceBtc,priceUsd
2019-04-15,655.0,185.0,22605125.321590796,1.2747729198903641,17732668.28066519,2.4283445642697097,7302369.08780613,32.0,2.0,-279876.2722764383,3.0029401993099998e-05,0.151636252631
2019-04-16,599.0,174.0,27516663.396017853,2.024218610277226,13593721.180267839,2.83311714705301,4798150.049816305,34.0,3.0,880031.847698974,2.93780292789e-05,0.153318931969
2019-04-17,840.0,316.0,126816007.74237195,4.28255562322811,29612226.646756407,2.406968299191413,12302707.375375137,58.0,3.0,4686634.592356633,3.29531757349e-05,0.172419785466
2019-04-18,949.0,387.0,62104382.75715614,3.1075642600136946,19984907.00780634,3.877404290997869,5154197.372248502,54.0,3.0,694893.3322033585,3.354346032400205e-05,0.177718436243
2019-04-19,969.0,317.0,351053546.38969326,8.264881620829886,42475326.628385894,2.427234169037813,17499476.222858086,85.0,4.0,-9759947.147127705,3.59942287556e-05,0.190213789991
2019-04-20,1173.0,444.0,307896870.37372017,7.2700434921852395,42351448.200369984,2.4639765504670885,17188251.321767434,72.0,4.0,467091.07159509516,3.82202316593e-05,0.203176544198
2019-04-21,1154.0,420.0,137779477.1758508,3.94633876562181,34913241.19867888,3.0339361562047062,11507572.803494146,39.0,1.0,-1993574.933669439,3.57797281285e-05,0.189409424431
2019-04-22,673.0,223.0,77407859.8658316,5.647891115936895,13705621.846605107,2.4498572161573313,5594457.406012728,33.0,3.0,714895.8902030064,3.5173588814999996e-05,0.188967971245
2019-04-23,1495.0,688.0,51043615.72140256,2.696963296285886,18926329.398585863,2.3243163666599136,8142750.991244514,37.0,4.0,-2130753.379386144,3.15834043232e-05,0.175176655435
2019-04-24,842.0,273.0,39355742.05333867,4.6275069664718735,8504739.66619319,2.702766222383746,3146679.722337324,54.0,5.0,-1130994.3306563182,2.9474520448599998e-05,0.160388820225
2019-04-25,687.0,216.0,21613369.206151634,3.1647881764000383,6829325.69305062,2.3992019740745434,2846498.863725278,43.0,6.0,1156630.0495860989,2.96772389744e-05,0.153649854722
